test_signer,f1_macro,f1_weighted,loss,precision_macro,recall_macro,top1,top3,top5,total_samples
Articulador1,0.09777777777777778,0.09777777777777778,7.059302921295166,0.0925,0.12,0.12,0.18,0.2,50
Articulador2,0.054747474747474746,0.054747474747474746,5.356682052612305,0.03783333333333333,0.12,0.12,0.22,0.28,50
Articulador3,0.05133333333333333,0.05133333333333333,6.963583965301513,0.04166666666666666,0.08,0.08,0.16,0.2,50
