epoch,lr,train_loss,train_top1,train_top3,train_top5
1,0.0002,5.2724609375,0.0,0.05,0.11
2,0.0004,4.8291796875,0.04,0.07,0.11
3,0.0006,4.51046875,0.03,0.04,0.09
4,0.0008,4.26296875,0.02,0.04,0.07
5,0.001,4.29505859375,0.01,0.05,0.06
6,0.001,4.022392578125,0.05,0.11,0.15
7,0.000975530705321762,3.816826171875,0.06,0.16,0.21
8,0.0009045180463377549,3.9469677734375,0.05,0.14,0.23
9,0.0007939132368836219,3.785146484375,0.06,0.12,0.19
10,0.0006545430463377549,3.691669921875,0.06,0.19,0.27
11,0.0005000499999999999,3.37740966796875,0.11,0.24,0.32
12,0.00034555695366224505,3.3827172088623048,0.13,0.26,0.34
13,0.0002061867631163781,3.2334674072265623,0.09,0.28,0.38
14,9.558195366224507e-05,3.1468130493164064,0.18,0.33,0.44
15,2.456929467823799e-05,2.9882473754882812,0.19,0.34,0.45
16,0.001,3.063282470703125,0.21,0.39,0.46
17,0.000993844785880539,2.9540371322631835,0.21,0.37,0.48
18,0.000975530705321762,2.9734042358398436,0.22,0.39,0.47
19,0.0009455087117679744,2.9846160888671873,0.16,0.39,0.52
20,0.0009045180463377549,2.86591552734375,0.16,0.41,0.55
21,0.0008535680352542143,2.5876171875,0.26,0.41,0.59
22,0.0007939132368836219,2.6286251831054686,0.24,0.48,0.56
23,0.0007270225503447864,2.7171673583984375,0.24,0.43,0.6
24,0.0006545430463377549,2.2338568115234376,0.34,0.6,0.73
25,0.0005782594107968633,2.201296844482422,0.28,0.61,0.74
26,0.0005000499999999999,2.251128158569336,0.36,0.58,0.7
27,0.0004218405892031367,2.0011117553710935,0.37,0.64,0.75
28,0.00034555695366224505,1.9503611755371093,0.44,0.67,0.79
29,0.0002730774496552136,1.7169228744506837,0.44,0.75,0.81
30,0.0002061867631163781,1.888000259399414,0.41,0.62,0.74
31,0.0001465319647457856,1.8455910873413086,0.41,0.66,0.79
32,9.558195366224507e-05,1.591985321044922,0.5,0.73,0.85
33,5.459128823202553e-05,1.6245201873779296,0.53,0.76,0.83
34,2.456929467823799e-05,1.562206687927246,0.45,0.77,0.87
35,6.255214119460927e-06,1.445712890625,0.56,0.78,0.9
36,0.001,1.7480477142333983,0.48,0.68,0.81
37,0.0009984588209998775,1.7002416229248047,0.46,0.78,0.85
38,0.000993844785880539,1.9948616027832031,0.38,0.61,0.79
39,0.0009861863417028184,1.6136862182617187,0.51,0.75,0.84
40,0.000975530705321762,1.860750732421875,0.45,0.7,0.8
41,0.0009619435722790177,1.5152878952026367,0.47,0.79,0.87
42,0.0009455087117679744,1.325210189819336,0.56,0.84,0.92
43,0.0009263274501688283,1.2953537559509278,0.62,0.87,0.91
44,0.0009045180463377549,1.3734274673461915,0.58,0.84,0.89
45,0.0008802149625017355,1.3281747817993164,0.57,0.79,0.91
46,0.0008535680352542143,1.3679511642456055,0.58,0.81,0.92
47,0.0008247415517626753,1.167650990486145,0.57,0.85,0.95
48,0.0007939132368836219,1.019792594909668,0.7,0.92,0.95
49,0.0007612731574297385,0.9119262313842773,0.68,0.88,0.97
50,0.0007270225503447864,0.7356390190124512,0.79,0.94,0.97
