epoch,lr,train_loss,train_top1,train_top3,train_top5
1,9.999999999999999e-05,6.666438720088161,0.0012594458438287153,0.006297229219143577,0.010075566750629723
2,0.00019999999999999998,6.172755630550817,0.0012594458438287153,0.007556675062972292,0.010075566750629723
3,0.0003,6.09432560370611,0.0012594458438287153,0.006297229219143577,0.013853904282115869
4,0.0003,6.062431127658719,0.0025188916876574307,0.012594458438287154,0.02518891687657431
5,0.0002999459471742492,6.034152632696502,0.003778337531486146,0.008816120906801008,0.0163727959697733
6,0.00029978382766609297,6.0274126319500905,0.0012594458438287153,0.003778337531486146,0.008816120906801008
7,0.0002995137583547247,5.9890093635251604,0.0012594458438287153,0.005037783375314861,0.017632241813602016
8,0.00029913593394517176,5.9898949089819,0.0025188916876574307,0.015113350125944584,0.022670025188916875
9,0.00029865062682792395,5.960364359752357,0.006297229219143577,0.0163727959697733,0.02392947103274559
10,0.000298058186882555,5.9222218467846925,0.006297229219143577,0.012594458438287154,0.021410579345088162
11,0.0002973590412254789,5.863818731956578,0.005037783375314861,0.017632241813602016,0.027707808564231738
12,0.00029655369390202245,5.813167240517566,0.006297229219143577,0.0163727959697733,0.027707808564231738
13,0.0002956427255230365,5.720696981367596,0.015113350125944584,0.037783375314861464,0.05289672544080604
14,0.0002946267928463077,5.651167940432839,0.013853904282115869,0.036523929471032744,0.060453400503778336
15,0.0002935066283030724,5.568417179194145,0.015113350125944584,0.05037783375314862,0.06926952141057935
16,0.00029228303946997444,5.474418122462121,0.027707808564231738,0.0743073047858942,0.09193954659949623
17,0.00029095690848684693,5.4288511420377255,0.017632241813602016,0.05415617128463476,0.08312342569269521
18,0.00028952919142073827,5.321309968866689,0.042821158690176324,0.08942065491183879,0.10579345088161209
19,0.00028800091757664065,5.233695153925821,0.030226700251889168,0.08690176322418136,0.12468513853904283
20,0.0002863731887554184,5.161028887222636,0.036523929471032744,0.09571788413098237,0.12720403022670027
21,0.00028464717845947014,5.036331439798965,0.041561712846347604,0.11712846347607053,0.163727959697733
22,0.00028282413104669876,4.964627279142288,0.05037783375314862,0.10327455919395466,0.15239294710327456
23,0.00028090536083339834,4.868845283835,0.05667506297229219,0.1297229219143577,0.17758186397984888
24,0.0002788922511467044,4.788457992995716,0.0654911838790932,0.1473551637279597,0.1964735516372796
25,0.000276786253327292,4.669803183385047,0.0743073047858942,0.15869017632241814,0.20025188916876574
26,0.0002745888856830393,4.512085339284363,0.09571788413098237,0.20025188916876574,0.25566750629722923
27,0.00027230173239441163,4.3859172191667914,0.11209068010075567,0.22795969773299748,0.29093198992443325
28,0.000269926442372355,4.321168841883277,0.12468513853904283,0.23173803526448364,0.3022670025188917
29,0.0002674647280695224,4.187733378158108,0.1297229219143577,0.2380352644836272,0.3198992443324937
30,0.0002649183642456907,4.102533126658096,0.14231738035264482,0.2707808564231738,0.33123425692695213
31,0.00026228918668825656,3.9437040694114245,0.163727959697733,0.30100755667506296,0.37531486146095716
32,0.0002595790908887356,3.8388371689794045,0.1574307304785894,0.3236775818639798,0.40428211586901763
33,0.0002567900306762176,3.7632038124862786,0.163727959697733,0.3198992443324937,0.4256926952141058
34,0.00025392401680876444,3.628073281545183,0.20025188916876574,0.3589420654911839,0.4521410579345088
35,0.00025098311552376414,3.5393355060884875,0.2128463476070529,0.3778337531486146,0.46977329974811083
36,0.0002479694470482886,3.4003887032381535,0.22670025188916876,0.4105793450881612,0.49622166246851385
37,0.0002448851840705268,3.284656787699356,0.23299748110831234,0.4282115869017632,0.5025188916876574
38,0.00024173255017339722,3.1873984535034716,0.26574307304785894,0.4420654911838791,0.5440806045340051
39,0.00023851381823146727,3.1222256689287855,0.27204030226700254,0.45717884130982367,0.5453400503778337
40,0.0002352313087723368,2.9870197857056815,0.29974811083123426,0.48740554156171284,0.570528967254408
41,0.00023188738830366593,2.8622714956701554,0.32997481108312343,0.5251889168765743,0.6259445843828715
42,0.00022848446760705414,2.6659689039667547,0.3778337531486146,0.5881612090680101,0.6926952141057935
43,0.00022502499999999998,2.670939369225682,0.3702770780856423,0.5692695214105793,0.6624685138539043
44,0.0002215114795671951,2.5221731951014523,0.4005037783375315,0.6146095717884131,0.7052896725440806
45,0.00021794643936242714,2.412511481446043,0.4345088161209068,0.6183879093198993,0.7027707808564232
46,0.00021433244958238794,2.317734513535007,0.4357682619647355,0.6561712846347607,0.7355163727959698
47,0.00021067211571370453,2.1884464292742445,0.473551637279597,0.6876574307304786,0.7783375314861462
48,0.00020696807665452678,2.140093617235083,0.49748110831234255,0.6977329974811083,0.7720403022670025
49,0.00020322300281202821,2.038728766237158,0.5327455919395466,0.7418136020151134,0.8161209068010076
50,0.00019943959417719037,1.9167428211841535,0.5377833753148614,0.77455919395466,0.8425692695214105
51,0.00019562057837825835,1.8422458736362024,0.5806045340050378,0.7632241813602015,0.8299748110831234
52,0.00019176870871427212,1.7641548990302482,0.5894206549118388,0.7581863979848866,0.8387909319899244
53,0.00018788676217009013,1.680082812117089,0.5982367758186398,0.7858942065491183,0.8564231738035264
54,0.00018397753741433685,1.6203804697738187,0.6360201511335013,0.818639798488665,0.8740554156171285
55,0.00018004385278171792,1.513046201890902,0.6486146095717884,0.8337531486146096,0.8816120906801007
56,0.00017608854424115624,1.43339797952013,0.6649874055415617,0.8501259445843828,0.9130982367758187
57,0.0001721144633512159,1.350423251051146,0.6826196473551638,0.8664987405541562,0.9256926952141058
